Year,Month,ProductCategory,Federal Holidays,Events,Sales(In ThousandDollars)
2009,1,1,2,0,1755
2009,1,2,2,0,524
2009,1,3,2,0,936
2009,2,1,1,1,1729
2009,2,2,1,1,496
2009,2,3,1,1,859
2009,3,1,0,0,2256
2009,3,2,0,0,542
2009,3,3,0,0,921
2009,4,1,0,1,2662
2009,4,2,0,1,669
2009,4,3,0,1,914
2009,5,1,1,1,2732
2009,5,2,1,1,650
2009,5,3,1,1,989
2009,6,1,0,1,2220
2009,6,2,0,1,607
2009,6,3,0,1,932
2009,7,1,2,0,2164
2009,7,2,2,0,575
2009,7,3,2,0,901
2009,8,1,0,0,2371
2009,8,2,0,0,551
2009,8,3,0,0,865
2009,9,1,1,0,2421
2009,9,2,1,0,579
2009,9,3,1,0,819
2009,10,1,1,1,2579
2009,10,2,1,1,610
2009,10,3,1,1,914
2009,11,1,2,0,2521
2009,11,2,2,0,620
2009,11,3,2,0,955
2009,12,1,1,2,3390
2009,12,2,1,2,930
2009,12,3,1,2,1351
2010,1,1,2,0,2142
2010,1,2,2,0,476
2010,1,3,2,0,945
2010,2,1,1,1,2413
2010,2,2,1,1,471
2010,2,3,1,1,869
2010,3,1,0,0,3102
2010,3,2,0,0,568
2010,3,3,0,0,941
2010,4,1,0,1,3156
2010,4,2,0,1,630
2010,4,3,0,1,1031
2010,5,1,1,1,3221
2010,5,2,1,1,627
2010,5,3,1,1,991
2010,6,1,0,1,2756
2010,6,2,0,1,598
2010,6,3,0,1,984
2010,7,1,2,0,2749
2010,7,2,2,0,544
2010,7,3,2,0,937
2010,8,1,0,0,2807
2010,8,2,0,0,636
2010,8,3,0,0,897
2010,9,1,1,0,2919
2010,9,2,1,0,563
2010,9,3,1,0,839
2010,10,1,1,1,3071
2010,10,2,1,1,634
2010,10,3,1,1,930
2010,11,1,2,0,3276
2010,11,2,2,0,669
2010,11,3,2,0,1035
2010,12,1,1,2,4360
2010,12,2,1,2,988
2010,12,3,1,2,1398
2011,1,1,2,0,2193
2011,1,2,2,0,487
2011,1,3,2,0,968
2011,2,1,1,1,2620
2011,2,2,1,1,497
2011,2,3,1,1,878
2011,3,1,0,0,3266
2011,3,2,0,0,599
2011,3,3,0,0,1064
2011,4,1,0,1,3414
2011,4,2,0,1,690
2011,4,3,0,1,985
2011,5,1,1,1,3340
2011,5,2,1,1,677
2011,5,3,1,1,1027
2011,6,1,0,1,3232
2011,6,2,0,1,636
2011,6,3,0,1,1031
2011,7,1,1,0,2896
2011,7,2,1,0,587
2011,7,3,1,0,985
2011,8,1,0,0,3245
2011,8,2,0,0,549
2011,8,3,0,0,1001
2011,9,1,1,0,3182
2011,9,2,1,0,643
2011,9,3,1,0,930
2011,10,1,1,1,3156
2011,10,2,1,1,682
2011,10,3,1,1,1020
2011,11,1,2,0,3499
2011,11,2,2,0,707
2011,11,3,2,0,1147
2011,12,1,2,2,4775
2011,12,2,2,2,1081
2011,12,3,2,2,1596
2012,1,1,3,0,2287
2012,1,2,3,0,525
2012,1,3,3,0,1039
2012,2,1,1,1,2800
2012,2,2,1,1,545
2012,2,3,1,1,1031
2012,3,1,0,0,3566
2012,3,2,0,0,623
2012,3,3,0,0,1229
2012,4,1,0,1,3724
2012,4,2,0,1,711
2012,4,3,0,1,1136
2012,5,1,1,1,3800
2012,5,2,1,1,725
2012,5,3,1,1,1155
