Year,Month,ProductCategory,Monthly Nominal GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Sales(In ThousandDollars)
2009,1,1,14421.753,233.402,7.8,12.03,11.44,22.05,1755
2009,1,2,14421.753,233.402,7.8,12.03,11.44,22.05,524
2009,1,3,14421.753,233.402,7.8,12.03,11.44,22.05,936
2009,2,1,14389.2,234.663,8.3,12.97,11.05,22.22,1729
2009,2,2,14389.2,234.663,8.3,12.97,11.05,22.22,496
2009,2,3,14389.2,234.663,8.3,12.97,11.05,22.22,859
2009,3,1,14340.702,235.067,8.7,12.97,11.05,22.22,2256
2009,3,2,14340.702,235.067,8.7,12.97,11.05,22.22,542
2009,3,3,14340.702,235.067,8.7,12.97,11.05,22.22,921
2009,4,1,14326.816,235.582,9,12.97,11.05,22.13,2662
2009,4,2,14326.816,235.582,9,12.97,11.05,22.13,669
2009,4,3,14326.816,235.582,9,12.97,11.05,22.13,914
2009,5,1,14345.905,235.975,9.4,13.32,11.25,22.04,2732
2009,5,2,14345.905,235.975,9.4,13.32,11.25,22.04,650
2009,5,3,14345.905,235.975,9.4,13.32,11.25,22.04,989
2009,6,1,14348.531,237.172,9.5,13.32,11.25,21.96,2220
2009,6,2,14348.531,237.172,9.5,13.32,11.25,21.96,607
2009,6,3,14348.531,237.172,9.5,13.32,11.25,21.96,932
2009,7,1,14317.373,237.6,9.5,13.32,11.25,22,2164
2009,7,2,14317.373,237.6,9.5,13.32,11.25,22,575
2009,7,3,14317.373,237.6,9.5,13.32,11.25,22,901
2009,8,1,14424.285,238.282,9.6,13.71,10.89,22.16,2371
2009,8,2,14424.285,238.282,9.6,13.71,10.89,22.16,551
2009,8,3,14424.285,238.282,9.6,13.71,10.89,22.16,865
2009,9,1,14410.777,238.568,9.8,13.71,10.89,22.2,2421
2009,9,2,14410.777,238.568,9.8,13.71,10.89,22.2,579
2009,9,3,14410.777,238.568,9.8,13.71,10.89,22.2,819
2009,10,1,14596.605,238.38,10,13.71,10.89,22.27,2579
2009,10,2,14596.605,238.38,10,13.71,10.89,22.27,610
2009,10,3,14596.605,238.38,10,13.71,10.89,22.27,914
2009,11,1,14590.432,238.777,9.9,13.6,11.2,22.44,2521
2009,11,2,14590.432,238.777,9.9,13.6,11.2,22.44,620
2009,11,3,14590.432,238.777,9.9,13.6,11.2,22.44,955
2009,12,1,14512.495,238.427,9.9,13.6,11.2,22.38,3390
2009,12,2,14512.495,238.427,9.9,13.6,11.2,22.38,930
2009,12,3,14512.495,238.427,9.9,13.6,11.2,22.38,1351
2010,1,1,14613.991,238.97,9.8,13.6,11.2,22.51,2142
2010,1,2,14613.991,238.97,9.8,13.6,11.2,22.51,476
2010,1,3,14613.991,238.97,9.8,13.6,11.2,22.51,945
2010,2,1,14652.88,238.862,9.8,14.26,10.83,22.57,2413
2010,2,2,14652.88,238.862,9.8,14.26,10.83,22.57,471
2010,2,3,14652.88,238.862,9.8,14.26,10.83,22.57,869
2010,3,1,14776.317,240.101,9.9,14.26,10.83,22.48,3102
2010,3,2,14776.317,240.101,9.9,14.26,10.83,22.48,568
2010,3,3,14776.317,240.101,9.9,14.26,10.83,22.48,941
2010,4,1,14844.531,240.529,9.9,14.26,10.83,22.53,3156
2010,4,2,14844.531,240.529,9.9,14.26,10.83,22.53,630
2010,4,3,14844.531,240.529,9.9,14.26,10.83,22.53,1031
2010,5,1,14875.698,241.075,9.6,13.84,11,22.6,3221
2010,5,2,14875.698,241.075,9.6,13.84,11,22.6,627
2010,5,3,14875.698,241.075,9.6,13.84,11,22.6,991
2010,6,1,14945.57,240.817,9.4,13.84,11,22.34,2756
2010,6,2,14945.57,240.817,9.4,13.84,11,22.34,598
2010,6,3,14945.57,240.817,9.4,13.84,11,22.34,984
2010,7,1,15019.235,241.147,9.4,13.84,11,22.41,2749
2010,7,2,15019.235,241.147,9.4,13.84,11,22.41,544
2010,7,3,15019.235,241.147,9.4,13.84,11,22.41,937
2010,8,1,15036.278,241.569,9.5,13.59,10.71,22.55,2807
2010,8,2,15036.278,241.569,9.5,13.59,10.71,22.55,636
2010,8,3,15036.278,241.569,9.5,13.59,10.71,22.55,897
2010,9,1,15117.467,241.485,9.5,13.59,10.71,22.6,2919
2010,9,2,15117.467,241.485,9.5,13.59,10.71,22.6,563
2010,9,3,15117.467,241.485,9.5,13.59,10.71,22.6,839
2010,10,1,15219.059,241.981,9.4,13.59,10.71,22.7,3071
2010,10,2,15219.059,241.981,9.4,13.59,10.71,22.7,634
2010,10,3,15219.059,241.981,9.4,13.59,10.71,22.7,930
2010,11,1,15185.629,241.96,9.8,13.44,10.94,22.69,3276
2010,11,2,15185.629,241.96,9.8,13.44,10.94,22.69,669
2010,11,3,15185.629,241.96,9.8,13.44,10.94,22.69,1035
2010,12,1,15285.936,241.874,9.3,13.44,10.94,22.76,4360
2010,12,2,15285.936,241.874,9.3,13.44,10.94,22.76,988
2010,12,3,15285.936,241.874,9.3,13.44,10.94,22.76,1398
2011,1,1,15149.136,242.639,9.1,13.44,10.94,23.16,2193
2011,1,2,15149.136,242.639,9.1,13.44,10.94,23.16,487
2011,1,3,15149.136,242.639,9.1,13.44,10.94,23.16,968
2011,2,1,15161.578,243.832,9,13.44,10.98,22.99,2620
2011,2,2,15161.578,243.832,9,13.44,10.98,22.99,497
2011,2,3,15161.578,243.832,9,13.44,10.98,22.99,878
2011,3,1,15404.399,245.617,9,13.44,10.98,22.9,3266
2011,3,2,15404.399,245.617,9,13.44,10.98,22.9,599
2011,3,3,15404.399,245.617,9,13.44,10.98,22.9,1064
2011,4,1,15488.005,246.489,9.1,13.44,10.98,22.96,3414
2011,4,2,15488.005,246.489,9.1,13.44,10.98,22.96,690
2011,4,3,15488.005,246.489,9.1,13.44,10.98,22.96,985
2011,5,1,15472.391,248.073,9,12.89,11.37,23.06,3340
2011,5,2,15472.391,248.073,9,12.89,11.37,23.06,677
2011,5,3,15472.391,248.073,9,12.89,11.37,23.06,1027
2011,6,1,15422.382,248.505,9.1,12.89,11.37,22.81,3232
