Year,Month,ProductCategory,Weather Normal,Weather Bad,Sales(In ThousandDollars)
2009,1,1,21,10,1755
2009,1,2,21,10,524
2009,1,3,21,10,936
2009,2,1,22,6,1729
2009,2,2,22,6,496
2009,2,3,22,6,859
2009,3,1,21,10,2256
2009,3,2,21,10,542
2009,3,3,21,10,921
2009,4,1,18,12,2662
2009,4,2,18,12,669
2009,4,3,18,12,914
2009,5,1,17,14,2732
2009,5,2,17,14,650
2009,5,3,17,14,989
2009,6,1,10,20,2220
2009,6,2,10,20,607
2009,6,3,10,20,932
2009,7,1,18,13,2164
2009,7,2,18,13,575
2009,7,3,18,13,901
2009,8,1,18,13,2371
2009,8,2,18,13,551
2009,8,3,18,13,865
2009,9,1,23,7,2421
2009,9,2,23,7,579
2009,9,3,23,7,819
2009,10,1,17,14,2579
2009,10,2,17,14,610
2009,10,3,17,14,914
2009,11,1,20,10,2521
2009,11,2,20,10,620
2009,11,3,20,10,955
2009,12,1,20,11,3390
2009,12,2,20,11,930
2009,12,3,20,11,1351
2010,1,1,11,20,2142
2010,1,2,11,20,476
2010,1,3,11,20,945
2010,2,1,15,13,2413
2010,2,2,15,13,471
2010,2,3,15,13,869
2010,3,1,17,14,3102
2010,3,2,17,14,568
2010,3,3,17,14,941
2010,4,1,13,17,3156
2010,4,2,13,17,630
2010,4,3,13,17,1031
2010,5,1,22,9,3221
2010,5,2,22,9,627
2010,5,3,22,9,991
2010,6,1,20,10,2756
2010,6,2,20,10,598
2010,6,3,20,10,984
2010,7,1,21,10,2749
2010,7,2,21,10,544
2010,7,3,21,10,937
2010,8,1,23,8,2807
2010,8,2,23,8,636
2010,8,3,23,8,897
2010,9,1,22,8,2919
2010,9,2,22,8,563
2010,9,3,22,8,839
2010,10,1,21,10,3071
2010,10,2,21,10,634
2010,10,3,21,10,930
2010,11,1,22,8,3276
2010,11,2,22,8,669
2010,11,3,22,8,1035
2010,12,1,25,6,4360
2010,12,2,25,6,988
2010,12,3,25,6,1398
2011,1,1,17,14,2193
2011,1,2,17,14,487
2011,1,3,17,14,968
2011,2,1,19,9,2620
2011,2,2,19,9,497
2011,2,3,19,9,878
2011,3,1,20,11,3266
2011,3,2,20,11,599
2011,3,3,20,11,1064
2011,4,1,16,14,3414
2011,4,2,16,14,690
2011,4,3,16,14,985
2011,5,1,20,11,3340
2011,5,2,20,11,677
2011,5,3,20,11,1027
2011,6,1,21,9,3232
2011,6,2,21,9,636
2011,6,3,21,9,1031
2011,7,1,21,9,2896
2011,7,2,21,9,587
2011,7,3,21,9,985
2011,8,1,18,13,3245
2011,8,2,18,13,549
2011,8,3,18,13,1001
2011,9,1,19,11,3182
2011,9,2,19,11,643
2011,9,3,19,11,930
2011,10,1,20,11,3156
2011,10,2,20,11,682
2011,10,3,20,11,1020
2011,11,1,21,9,3499
2011,11,2,21,9,707
2011,11,3,21,9,1147
2011,12,1,21,10,4775
2011,12,2,21,10,1081
2011,12,3,21,10,1596
2012,1,1,21,10,2287
2012,1,2,21,10,525
2012,1,3,21,10,1039
2012,2,1,18,11,2800
2012,2,2,18,11,545
2012,2,3,18,11,1031
2012,3,1,19,12,3566
2012,3,2,19,12,623
2012,3,3,19,12,1229
2012,4,1,19,11,3724
2012,4,2,19,11,711
2012,4,3,19,11,1136
2012,5,1,15,16,3800
2012,5,2,15,16,725
2012,5,3,15,16,1155
2012,6,1,19,11,3086
2012,6,2,19,11,703
2012,6,3,19,11,1205
2012,7,1,20,11,2877
2012,7,2,20,11,613
2012,7,3,20,11,1049
2012,8,1,23,8,3059
2012,8,2,23,8,636
2012,8,3,23,8,1124
2012,9,1,22,8,3156
2012,9,2,22,8,687
2012,9,3,22,8,1045
2012,10,1,18,13,3168
2012,10,2,18,13,710
2012,10,3,18,13,1158
2012,11,1,24,6,3558
2012,11,2,24,6,731
2012,11,3,24,6,1252
2012,12,1,13,18,4824
2012,12,2,13,18,1080
2012,12,3,13,18,1475
2013,1,1,20,11,2320
2013,1,2,20,11,599
2013,1,3,20,11,1036
2013,2,1,14,14,2872
2013,2,2,14,14,560
2013,2,3,14,14,1144
2013,3,1,20,11,3687
2013,3,2,20,11,682
2013,3,3,20,11,1346
